Batter,BatterTeam,BatterSide,ExitSpeed,Angle,Direction,Bearing,Distance,HitType
Paul Toetz,Joliet Slammers,Right,93.81,37.5,14.07,26.58,332,FlyBall
Paul Toetz,Joliet Slammers,Right,93.81,23.83,1.67,11.39,332.14,FlyBall
Paul Toetz,Joliet Slammers,Right,92.51,45.78,3.77,22.98,271.31,FlyBall
Paul Toetz,Joliet Slammers,Right,91.57,29.58,-4.08,3.48,339.79,FlyBall
Paul Toetz,Joliet Slammers,Right,91.07,-9.65,-44.66,-37,10.75,GroundBall
Paul Toetz,Joliet Slammers,Right,91.05,-24.27,-49.25,-28.17,4.96,GroundBall
Paul Toetz,Joliet Slammers,Right,90.8,9.23,-13.8,-15.43,135.7,GroundBall
Paul Toetz,Joliet Slammers,Right,90.63,-12.57,-5.86,-3.96,9.41,GroundBall
Paul Toetz,Joliet Slammers,Right,90.5,21.85,-2.13,3.87,326.12,FlyBall
Paul Toetz,Joliet Slammers,Right,90.18,3.65,-20.08,-20.62,72.06,GroundBall
Paul Toetz,Joliet Slammers,Right,90.18,17.56,3.54,11.81,278.3,LineDrive
Paul Toetz,Joliet Slammers,Right,90.16,42.33,-0.69,8.85,272.3,FlyBall
Paul Toetz,Joliet Slammers,Right,89.88,23.81,-34.08,-42.23,313.63,LineDrive
Paul Toetz,Joliet Slammers,Right,89.71,-22.75,-9.61,-9.61,8.71,GroundBall
Paul Toetz,Joliet Slammers,Right,89.66,-31.18,-24.65,-17.69,4.52,GroundBall
Paul Toetz,Joliet Slammers,Right,88.71,40.4,-14.38,-9.45,263.16,FlyBall
Paul Toetz,Joliet Slammers,Right,88.68,30.99,-19.22,-21.24,337.72,FlyBall
Paul Toetz,Joliet Slammers,Right,88.61,-42.39,0.11,1.27,2.29,GroundBall
Paul Toetz,Joliet Slammers,Right,88.36,19.45,12.04,22.52,264.6,FlyBall
Paul Toetz,Joliet Slammers,Right,87.87,24.45,22.58,35.33,285.37,FlyBall
Paul Toetz,Joliet Slammers,Right,87.25,-23.39,-5.32,-0.19,5.02,GroundBall
Paul Toetz,Joliet Slammers,Right,87.25,-23.39,-5.32,-0.19,5.02,GroundBall
Paul Toetz,Joliet Slammers,Right,87,-3.56,7.91,10.71,27.47,GroundBall
Paul Toetz,Joliet Slammers,Right,86.65,58.53,6.47,3.68,163.25,Popup
Paul Toetz,Joliet Slammers,Right,85.88,17.09,-8.11,-5.55,251.3,LineDrive
Paul Toetz,Joliet Slammers,Right,85.84,18.74,-14.9,-11.42,288.67,FlyBall
Paul Toetz,Joliet Slammers,Right,85.8,6.48,-19.27,-20.98,91.66,GroundBall
Paul Toetz,Joliet Slammers,Right,85.61,-18.94,17.71,10.55,5.96,GroundBall
Paul Toetz,Joliet Slammers,Right,85.54,-17.14,-25.39,-15.52,9.1,GroundBall
Paul Toetz,Joliet Slammers,Right,85.42,41.73,-4.74,10.28,251.98,FlyBall
Paul Toetz,Joliet Slammers,Right,84.79,-36.94,-38.06,-27.34,4.8,GroundBall
Paul Toetz,Joliet Slammers,Right,83.98,19.71,-7.07,-2.98,247.29,FlyBall
Paul Toetz,Joliet Slammers,Right,83.26,7.76,12.42,16.35,123.8,GroundBall
Paul Toetz,Joliet Slammers,Right,82.93,26.97,-19.53,-18.67,301.47,FlyBall
Paul Toetz,Joliet Slammers,Right,82.89,6,26.37,29.54,98.05,GroundBall
Paul Toetz,Joliet Slammers,Right,82.23,-8.35,-13.55,-9.86,16.17,GroundBall
Paul Toetz,Joliet Slammers,Right,81.63,-0.02,-25.27,-25.47,48,GroundBall
Paul Toetz,Joliet Slammers,Right,81.16,21.34,-5.64,-4.28,272.69,LineDrive
Paul Toetz,Joliet Slammers,Right,80.93,48.36,27.14,34.45,246.39,FlyBall
Paul Toetz,Joliet Slammers,Right,80.26,45.03,-3.73,2.28,267.59,FlyBall
Paul Toetz,Joliet Slammers,Right,79.35,5.02,-9.37,-7.96,77.09,GroundBall
Paul Toetz,Joliet Slammers,Right,79.14,-8.72,-14.66,-10.98,16.35,GroundBall
Paul Toetz,Joliet Slammers,Right,78.5,-2.57,13.86,15.89,27.5,GroundBall
Paul Toetz,Joliet Slammers,Right,78.08,7.29,-34.2,-35.45,95.8,GroundBall
Paul Toetz,Joliet Slammers,Right,77.92,20.54,-18.14,-20.65,185.57,LineDrive
Paul Toetz,Joliet Slammers,Right,76.61,1.37,-20.71,-21.05,51.94,GroundBall
Paul Toetz,Joliet Slammers,Right,76.46,-34.16,13.27,12.87,5.36,GroundBall
Paul Toetz,Joliet Slammers,Right,76.4,62.24,22.41,35.48,145.65,Popup
